
10000	 0.0884576
17600	 0.272681
25200	 0.563045
32800	 0.943883
40400	 1.43706
48000	 2.0188
55600	 2.71271
63200	 3.52873
70800	 4.40065
78400	 5.40573
86000	 6.51849
93600	 7.68856
101200	 9.01416
108800	 10.4382
116400	 11.9092
124000	 13.4958
131600	 15.2015
139200	 17.0582
146800	 18.8909
154400	 21.0103
162000	 23.0441
169600	 25.3038
177200	 27.5841
184800	 30.02
192400	 32.5549
200000	 35.2866

10000 	7.6e-05
17600 	0.0001126
25200 	0.0001436
32800 	0.000109667
40400 	9.89333e-05
48000 	9.56667e-05
55600 	0.000114267
63200 	0.000123133
70800 	0.000152133
78400 	0.0001502
86000 	0.0001794
93600 	0.000190733
101200	 0.0001952
108800	 0.0002212
116400	 0.0002224
124000	 0.000248733
131600	 0.000254667
139200	 0.0002692
146800	 0.0002812
154400	 0.0002952
162000	 0.000316
169600	 0.000329733
177200	 0.000348267
184800		0.0003682
192400	 0.0003736
200000	 0.000391067

10000	 7.78667e-05
17600	 0.000130267
25200	 0.000190267
32800	 7.07333e-05
40400	 0.0001446
48000	 0.000116667
55600	 0.000117933
63200	 0.000132467
70800	 0.0001532
78400	 0.000162133
86000	 0.000172467
93600	 0.000187533
101200	 0.000215533
108800	 0.0002162
116400	 0.000231267
124000	 0.000247
131600	 0.0002636
139200	 0.0002756
146800	 0.000296267
154400	 0.000332533
162000	 0.000321267
169600	 0.0003352
177200	 0.000354933
184800	 0.000364733
192400	 0.000384067
200000	 0.0003908



10000 7.76e-05
17600 0.000152667
25200 0.0001242
32800 0.000235067
40400 0.000269467
48000 0.000192133
55600 0.000133467
63200 0.000129
70800 0.0001412
78400 0.0001578
86000 0.000167667
93600 0.000187733
101200 0.000201667
108800 0.000216267
116400 0.0002324
124000 0.0002566
131600 0.000274867
139200 0.000282667
146800 0.000297467
154400 0.000311133
162000 0.000320533
169600 0.0003528
177200 0.000348867
184800 0.000370333
192400 0.000391467
200000 0.000406667
